"filename","DGPid","trueATE"
"low1",17,0.106696525376334
"low10",59,-0.8
"low100",62,2
"low1000",17,0.106696525376334
"low1001",61,2
"low1002",63,-2
"low1003",35,0.122643947648726
"low1004",64,3.625
"low1005",19,0.120725663548369
"low1006",32,2.52739040759141
"low1007",32,2.52739040759141
"low1008",61,2
"low1009",35,0.122643947648726
"low101",20,0.156759654487529
"low1010",63,-2
"low1011",17,0.106696525376334
"low1012",36,0.0940840672965854
"low1013",59,-0.8
"low1014",36,0.0940840672965854
"low1015",57,0.5
"low1016",35,0.122643947648726
"low1017",34,0.0496296933010442
"low1018",57,0.5
"low1019",61,2
"low102",30,10
"low1020",18,0.147047058600875
"low1021",36,0.0940840672965854
"low1022",35,0.122643947648726
"low1023",64,3.625
"low1024",35,0.122643947648726
"low1025",17,0.106696525376334
"low1026",36,0.0940840672965854
"low1027",33,0.0995898753689496
"low1028",61,2
"low1029",19,0.120725663548369
"low103",20,0.156759654487529
"low1030",31,2
"low1031",63,-2
"low1032",32,2.52739040759141
"low1033",35,0.122643947648726
"low1034",17,0.106696525376334
"low1035",17,0.106696525376334
"low1036",36,0.0940840672965854
"low1037",58,1
"low1038",62,2
"low1039",57,0.5
"low104",61,2
"low1040",35,0.122643947648726
"low1041",57,0.5
"low1042",64,3.625
"low1043",30,10
"low1044",19,0.120725663548369
"low1045",35,0.122643947648726
"low1046",62,2
"low1047",63,-2
"low1048",61,2
"low1049",29,4
"low105",61,2
"low1050",58,1
"low1051",19,0.120725663548369
"low1052",30,10
"low1053",31,2
"low1054",61,2
"low1055",57,0.5
"low1056",36,0.0940840672965854
"low1057",32,2.52739040759141
"low1058",59,-0.8
"low1059",17,0.106696525376334
"low106",57,0.5
"low1060",30,10
"low1061",19,0.120725663548369
"low1062",63,-2
"low1063",32,2.52739040759141
"low1064",20,0.156759654487529
"low1065",59,-0.8
"low1066",60,1.6862483115362
"low1067",32,2.52739040759141
"low1068",33,0.0995898753689496
"low1069",63,-2
"low107",60,1.6862483115362
"low1070",34,0.0496296933010442
"low1071",30,10
"low1072",35,0.122643947648726
"low1073",20,0.156759654487529
"low1074",60,1.6862483115362
"low1075",58,1
"low1076",61,2
"low1077",36,0.0940840672965854
"low1078",30,10
"low1079",63,-2
"low108",58,1
"low1080",61,2
"low1081",19,0.120725663548369
"low1082",61,2
"low1083",33,0.0995898753689496
"low1084",64,3.625
"low1085",62,2
"low1086",61,2
"low1087",60,1.6862483115362
"low1088",64,3.625
"low1089",17,0.106696525376334
"low109",58,1
"low1090",62,2
"low1091",61,2
"low1092",34,0.0496296933010442
"low1093",33,0.0995898753689496
"low1094",62,2
"low1095",30,10
"low1096",30,10
"low1097",57,0.5
"low1098",61,2
"low1099",62,2
"low11",64,3.625
"low110",59,-0.8
"low1100",61,2
"low1101",18,0.147047058600875
"low1102",60,1.6862483115362
"low1103",33,0.0995898753689496
"low1104",19,0.120725663548369
"low1105",29,4
"low1106",59,-0.8
"low1107",63,-2
"low1108",18,0.147047058600875
"low1109",58,1
"low111",62,2
"low1110",30,10
"low1111",35,0.122643947648726
"low1112",61,2
"low1113",30,10
"low1114",31,2
"low1115",20,0.156759654487529
"low1116",63,-2
"low1117",29,4
"low1118",36,0.0940840672965854
"low1119",32,2.52739040759141
"low112",30,10
"low1120",35,0.122643947648726
"low1121",57,0.5
"low1122",62,2
"low1123",32,2.52739040759141
"low1124",33,0.0995898753689496
"low1125",19,0.120725663548369
"low1126",64,3.625
"low1127",29,4
"low1128",36,0.0940840672965854
"low1129",33,0.0995898753689496
"low113",30,10
"low1130",63,-2
"low1131",59,-0.8
"low1132",62,2
