"dgp","model","rmse_rel","coverage","ci_rel"
"dgp29","BART_ps-bart",0.10755563450616,0.94,0.382096459332502
"dgp29","BART_ps-glm",0.10884852775539,0.92,0.381138700943259
"dgp29","BART_s-learner",0.109162811879987,0.9,0.379896258052866
"dgp29","BART_t-learner",0.116209618267678,0.91,0.39158492627971
"dgp29","aipw",0.106512930084388,0.92,0.386067731407508
"dgp29","causal_forest",0.116011284792927,0.92,0.414210484773872
"dgp30","BART_ps-bart",0.0494084037212788,0.94,0.186287398901805
"dgp30","BART_ps-glm",0.0577836462943152,0.86,0.181221903835503
"dgp30","BART_s-learner",0.05813386518347,0.84,0.180853137331335
"dgp30","BART_t-learner",0.102229160637572,0.6,0.202600599200958
"dgp30","aipw",1.195605388713,0,0.227831868537192
"dgp30","causal_forest",0.0931700108435942,0.65,0.195310847126989
"dgp31","BART_ps-bart",0.202338044235256,0.95,0.8056799001398
"dgp31","BART_ps-glm",0.196292381288475,0.95,0.799251600230887
"dgp31","BART_s-learner",0.193423386982314,0.95,0.764454804318742
"dgp31","BART_t-learner",0.193591943101476,0.98,0.789591032403601
"dgp31","aipw",0.219077301730517,0.95,0.814545746607467
"dgp31","causal_forest",0.248412533770704,0.92,0.904403522588284
"dgp32","BART_ps-bart",0.1283905470651,0.97,0.543473938269617
"dgp32","BART_ps-glm",0.12449997510622,0.99,0.529173179301824
"dgp32","BART_s-learner",0.123885943019148,0.99,0.527965967776396
"dgp32","BART_t-learner",0.124201012304284,0.99,0.531941351627765
"dgp32","aipw",0.126917696539111,0.98,0.526446376136452
"dgp32","causal_forest",0.131573569351218,0.97,0.527012377390067
"dgp37","BART_ps-bart",0.0509538763592077,0.97,0.201567154959178
"dgp37","BART_ps-glm",0.051800781861143,0.95,0.198709437658921
"dgp37","BART_s-learner",0.0518983701817548,0.96,0.198565500741072
"dgp37","BART_t-learner",0.070165051566129,0.88,0.229768540636766
"dgp37","aipw",0.0390783693553431,0.91,0.135978136306715
"dgp37","causal_forest",0.149449817251062,0.92,0.49393276027994
"dgp38","BART_ps-bart",0.05863666922153,0.99,0.235777087342257
"dgp38","BART_ps-glm",0.057312435197764,0.98,0.229756961468976
"dgp38","BART_s-learner",0.055734992094456,0.97,0.22519525506844
"dgp38","BART_t-learner",0.0740692147667758,0.85,0.222209165549848
"dgp38","aipw",0.0589068220697817,0.86,0.182351113111073
"dgp38","causal_forest",0.0617707763081715,0.89,0.210688204530203
"dgp39","BART_ps-bart",0.0579205494271837,0.77,0.152792194785407
"dgp39","BART_ps-glm",0.0555039488482725,0.81,0.151126800205189
"dgp39","BART_s-learner",0.0525643884482612,0.83,0.145494943674351
"dgp39","BART_t-learner",0.0573951068478538,0.83,0.157741520025749
"dgp39","aipw",0.0529954875395693,0.95,0.241579118266461
"dgp39","causal_forest",0.145264204567159,0.93,0.504733194143763
"dgp40","BART_ps-bart",0.0203352762746122,0.96,0.0779439384436154
"dgp40","BART_ps-glm",0.0203820823009106,0.95,0.0772774632170744
"dgp40","BART_s-learner",0.020392788863453,0.94,0.0765039490421764
"dgp40","BART_t-learner",0.0381580910427247,0.73,0.0864340468108616
"dgp40","aipw",0.0514732848053338,0.77,0.130303497519609
"dgp40","causal_forest",0.0694890192544866,0.98,0.259487914137494
"dgp57","BART_ps-bart",0.172730790660217,0.94,0.713124709757725
"dgp57","BART_ps-glm",0.169718718317252,0.95,0.710153744525005
"dgp57","BART_s-learner",0.167506964505664,0.95,0.706494543568784
"dgp57","BART_t-learner",0.162622894977415,0.96,0.704115145986006
"dgp57","aipw",0.174255145659893,0.96,0.713377870379632
"dgp57","causal_forest",0.193738721594971,0.95,0.712095529454482
"dgp58","BART_ps-bart",0.109763250370435,0.94,0.39744630461572
"dgp58","BART_ps-glm",0.109225037358016,0.92,0.393960787064167
"dgp58","BART_s-learner",0.106694578347687,0.93,0.392287341688388
"dgp58","BART_t-learner",0.110778314374703,0.92,0.404463381810463
"dgp58","aipw",0.110272601472562,0.92,0.387750837670926
"dgp58","causal_forest",0.104157437883859,0.92,0.365916992336067
"dgp59","BART_ps-bart",0.109747531286648,0.96,0.473918832441318
"dgp59","BART_ps-glm",0.109434780165857,0.98,0.468893364449315
"dgp59","BART_s-learner",0.109169044340376,0.94,0.458320477491623
"dgp59","BART_t-learner",0.105560446530718,0.95,0.453148901690593
"dgp59","aipw",0.115187785923566,0.97,0.468476469692752
"dgp59","causal_forest",0.123121056657138,0.92,0.438162019321765
"dgp60","BART_ps-bart",0.0533062569885703,0.9,0.180771641116622
"dgp60","BART_ps-glm",0.0532840062624454,0.9,0.18019097902945
"dgp60","BART_s-learner",0.0543856298233021,0.89,0.179357310644178
"dgp60","BART_t-learner",0.049456014100718,0.92,0.177887825444511
"dgp60","aipw",0.0478897798719795,0.93,0.181338821221978
"dgp60","causal_forest",0.0581643327410374,0.88,0.180303524624002
"dgp61","BART_ps-bart",0.088341628524193,0.98,0.420117585718009
"dgp61","BART_ps-glm",0.0883609847258682,0.98,0.417079464841637
"dgp61","BART_s-learner",0.0872792408538346,0.98,0.412862008766054
"dgp61","BART_t-learner",0.0998619350895331,0.95,0.41780466961185
"dgp61","aipw",0.0942342035506571,0.98,0.423987902194805
"dgp61","causal_forest",0.105443972919471,0.97,0.41528627814588
"dgp62","BART_ps-bart",0.105096317968987,0.95,0.439856096943111
"dgp62","BART_ps-glm",0.104973683022018,0.96,0.435210283685458
"dgp62","BART_s-learner",0.104872762520198,0.96,0.428868212073347
"dgp62","BART_t-learner",0.124010695505375,0.95,0.434350147488029
"dgp62","aipw",0.126863850060607,0.93,0.432506944245373
"dgp62","causal_forest",0.11405356046554,0.93,0.417211101691016
"dgp63","BART_ps-bart",0.128502773770814,0.94,0.491738040521369
"dgp63","BART_ps-glm",0.125481414910049,0.94,0.484920009986993
"dgp63","BART_s-learner",0.120374161710354,0.96,0.459136795700616
"dgp63","BART_t-learner",0.115355379257962,0.94,0.479841369675715
"dgp63","aipw",0.129853953532215,0.88,0.399459645480393
"dgp63","causal_forest",0.117746248469052,0.9,0.427472328308552
"dgp64","BART_ps-bart",0.0458645893082429,0.93,0.17330404618569
"dgp64","BART_ps-glm",0.0443482110637835,0.93,0.170928696313686
"dgp64","BART_s-learner",0.0439688372590893,0.94,0.170309156169168
"dgp64","BART_t-learner",0.0459326462431533,0.93,0.167167124238052
"dgp64","aipw",0.0825488623588509,0.81,0.206923969343886
"dgp64","causal_forest",0.0418683482801233,0.95,0.170445511149863
