"dgp","iteration","balance"
29,1,0.305841325196164
29,2,0.302179598953792
29,3,0.30566695727986
29,4,0.314210985178727
29,5,0.301656495204882
30,1,0.69642545771578
30,2,0.680034873583261
30,3,0.676721883173496
30,4,0.685963382737576
30,5,0.67951176983435
31,1,0.596512641673932
31,2,0.597558849171752
31,3,0.608544027898867
31,4,0.591455972101133
31,5,0.605405405405405
32,1,0.465562336530078
32,2,0.456669572798605
32,3,0.455100261551874
32,4,0.460156931124673
32,5,0.45283347863993
37,1,0.178
37,2,0.176
37,3,0.186
37,4,0.17
37,5,0.182
38,1,0.124
38,2,0.15
38,3,0.16
38,4,0.15
38,5,0.138
39,1,0.314
39,2,0.362
39,3,0.328
39,4,0.296
39,5,0.316
40,1,0.762
40,2,0.724
40,3,0.726
40,4,0.748
40,5,0.802
57,1,0.335901386748844
57,2,0.371340523882897
57,3,0.368258859784284
57,4,0.392912172573189
57,5,0.402157164869029
58,1,0.719568567026194
58,2,0.690292758089368
58,3,0.687211093990755
58,4,0.701078582434515
58,5,0.654853620955316
59,1,0.522342064714946
59,2,0.526964560862866
59,3,0.513097072419106
59,4,0.49768875192604
59,5,0.551617873651772
60,1,0.724191063174114
60,2,0.713405238828968
60,3,0.704160246533128
60,4,0.673343605546995
60,5,0.696456086286595
61,1,0.644067796610169
61,2,0.640986132511556
61,3,0.659476117103236
61,4,0.657935285053929
61,5,0.687211093990755
62,1,0.705701078582434
62,2,0.741140215716487
62,3,0.724191063174114
62,4,0.727272727272727
62,5,0.707241910631741
63,1,0.505392912172573
63,2,0.510015408320493
63,3,0.534668721109399
63,4,0.494607087827427
63,5,0.505392912172573
64,1,0.571648690292758
64,2,0.570107858243451
64,3,0.536209553158706
64,4,0.543913713405239
64,5,0.550077041602465
