dpg;iteration;discarded_max
29;1;0
29;2;0
29;3;0
29;4;1
29;5;0
30;1;0
30;2;0
30;3;0
30;4;0
30;5;1
31;1;0
31;2;0
31;3;0
31;4;0
31;5;0
32;1;0
32;2;0
32;3;0
32;4;0
32;5;0
37;1;3
37;2;28
37;3;9
37;4;4
37;5;8
38;1;0
38;2;0
38;3;0
38;4;0
38;5;0
39;1;115
39;2;59
39;3;90
39;4;83
39;5;70
40;1;14
40;2;14
40;3;15
40;4;16
40;5;16
57;1;0
57;2;0
57;3;0
57;4;0
57;5;0
58;1;0
58;2;0
58;3;0
58;4;0
58;5;0
59;1;0
59;2;0
59;3;0
59;4;0
59;5;0
60;1;0
60;2;5
60;3;0
60;4;0
60;5;1
61;1;0
61;2;0
61;3;0
61;4;0
61;5;0
62;1;0
62;2;0
62;3;0
62;4;0
62;5;0
63;1;1
63;2;0
63;3;0
63;4;0
63;5;0
64;1;0
64;2;0
64;3;0
64;4;0
64;5;0
