"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_s-learner","dgp30",1,200,10,0.75,0.85,0.0594798092301766,0.178515215018467
"bart_s-learner","dgp30",1,200,3,0.9,0.85,0.0596160257671752,0.178507775558174
"bart_s-learner","dgp30",1,200,3,0.99,0.85,0.0598748443545932,0.179384492846142
"bart_s-learner","dgp30",1,100,3,0.99,0.8,0.0613284768009675,0.178855658790076
"bart_s-learner","dgp30",1,100,10,0.75,0.8,0.0616904709972653,0.178996515688466
"bart_s-learner","dgp30",2,200,3,0.9,0.8,0.0617533003307468,0.179836139717592
"bart_s-learner","dgp30",1,100,3,0.9,0.75,0.0618004036259627,0.177840950016169
"bart_s-learner","dgp30",2,200,3,0.99,0.75,0.0624637594089392,0.178452428317881
"bart_s-learner","dgp30",2,75,10,0.75,0.85,0.0628070139595145,0.179358159279563
"bart_s-learner","dgp30",2,100,10,0.75,0.8,0.0628116172403472,0.179295544766858
"bart_s-learner","dgp30",2,100,3,0.99,0.75,0.0628860536458717,0.177922134307617
"bart_s-learner","dgp30",2,200,10,0.75,0.75,0.0632513553281411,0.18044146116725
"bart_s-learner","dgp30",1,75,3,0.9,0.75,0.0633136262549166,0.178126920826886
"bart_s-learner","dgp30",2,100,3,0.9,0.75,0.0638323019857637,0.179114183008058
"bart_s-learner","dgp30",1,75,10,0.75,0.75,0.064107882708767,0.176779544266389
"bart_s-learner","dgp30",1,75,3,0.99,0.75,0.0641784066533787,0.17865260615872
"bart_s-learner","dgp30",3,100,3,0.9,0.8,0.0643731848043077,0.179019543819615
"bart_s-learner","dgp30",3,75,3,0.9,0.75,0.064487326405064,0.179443393434019
"bart_s-learner","dgp30",2,75,3,0.9,0.75,0.0644934330319465,0.179478192114496
"bart_s-learner","dgp30",3,100,10,0.75,0.75,0.064523692465992,0.17883562290956
"bart_s-learner","dgp30",3,100,3,0.99,0.75,0.0645669964505193,0.178487489158484
"bart_s-learner","dgp30",3,200,3,0.9,0.75,0.0651726537037486,0.179008523612093
"bart_s-learner","dgp30",3,75,3,0.99,0.75,0.0653300221588944,0.178827514832977
"bart_s-learner","dgp30",2,75,3,0.99,0.75,0.0656440471654579,0.178477199323783
"bart_s-learner","dgp30",3,75,10,0.75,0.75,0.0656891752914424,0.179537983955909
"bart_s-learner","dgp30",3,200,3,0.99,0.75,0.0656942947739406,0.178260579912609
"bart_s-learner","dgp30",3,200,10,0.75,0.75,0.0660704688932942,0.178395837947803
"bart_s-learner","dgp30",5,75,3,0.9,0.75,0.0690188909623799,0.179013348031639
"bart_s-learner","dgp30",5,75,10,0.75,0.75,0.0693422476111949,0.178341913270755
"bart_s-learner","dgp30",5,75,3,0.99,0.75,0.0696427186865491,0.178468937686631
"bart_s-learner","dgp30",5,100,3,0.99,0.75,0.069874172969263,0.17754309824282
"bart_s-learner","dgp30",5,100,10,0.75,0.75,0.0704245602181846,0.178892437055473
"bart_s-learner","dgp30",5,100,3,0.9,0.75,0.0705384635638996,0.177196294930546
"bart_s-learner","dgp30",5,200,10,0.75,0.7,0.075119445397658,0.177990902314457
"bart_s-learner","dgp30",5,200,3,0.99,0.7,0.0751589533192304,0.178776464528636
"bart_s-learner","dgp30",5,200,3,0.9,0.7,0.0752165385042308,0.178856125202058
