"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_ps-glm","dgp60",1,75,3,0.9,0.95,0.0582816198076836,0.181817202727332
"bart_ps-glm","dgp60",1,100,3,0.99,0.95,0.0584542768125428,0.181725719420113
"bart_ps-glm","dgp60",1,75,10,0.75,0.95,0.0584617187825483,0.182423640483872
"bart_ps-glm","dgp60",1,100,3,0.9,0.95,0.0584737776121476,0.182113919734966
"bart_ps-glm","dgp60",1,100,10,0.75,0.95,0.0586931324970831,0.181957339961151
"bart_ps-glm","dgp60",1,75,3,0.99,0.95,0.0587906838566081,0.182389620697233
"bart_ps-glm","dgp60",1,200,10,0.75,0.95,0.0592481816773234,0.184347013868908
"bart_ps-glm","dgp60",1,200,3,0.9,0.95,0.0594257759141306,0.185547305960602
"bart_ps-glm","dgp60",1,200,3,0.99,0.95,0.0598792969766499,0.183489664214666
"bart_ps-glm","dgp60",2,75,3,0.99,0.9,0.0612386593580762,0.180324508247105
"bart_ps-glm","dgp60",2,75,10,0.75,0.9,0.0615469692234585,0.180270600230508
"bart_ps-glm","dgp60",2,75,3,0.9,0.9,0.0618680764982895,0.180288160116867
"bart_ps-glm","dgp60",2,100,10,0.75,0.9,0.0620540397069807,0.180013826696115
"bart_ps-glm","dgp60",2,100,3,0.9,0.9,0.0625252999660929,0.181018183639715
"bart_ps-glm","dgp60",2,100,3,0.99,0.9,0.0625403873811478,0.180151024204627
"bart_ps-glm","dgp60",2,200,3,0.99,0.9,0.0642120231256382,0.180806284040762
"bart_ps-glm","dgp60",2,200,10,0.75,0.9,0.0642304869209304,0.180532919474772
"bart_ps-glm","dgp60",2,200,3,0.9,0.9,0.0644565055894667,0.180835913081543
"bart_ps-glm","dgp60",3,75,3,0.9,0.75,0.0679051847926296,0.178334960876529
"bart_ps-glm","dgp60",3,75,3,0.99,0.75,0.0679144116845514,0.178715997311876
"bart_ps-glm","dgp60",3,75,10,0.75,0.75,0.0679423501966499,0.178147048640528
"bart_ps-glm","dgp60",3,100,10,0.75,0.75,0.0695547762686888,0.178887591726025
"bart_ps-glm","dgp60",3,100,3,0.9,0.7,0.0697766425077249,0.1786962123839
"bart_ps-glm","dgp60",3,100,3,0.99,0.7,0.0699231696896052,0.179242903267742
"bart_ps-glm","dgp60",3,200,3,0.9,0.7,0.0745574449954775,0.178416408975473
"bart_ps-glm","dgp60",3,200,10,0.75,0.7,0.0746774773202936,0.178334287372305
"bart_ps-glm","dgp60",3,200,3,0.99,0.7,0.0748854105978212,0.178400590194168
"bart_ps-glm","dgp60",5,75,3,0.9,0.6,0.0886058501820931,0.177215421923302
"bart_ps-glm","dgp60",5,75,3,0.99,0.6,0.0887382808113861,0.17646450471811
"bart_ps-glm","dgp60",5,75,10,0.75,0.6,0.0890232437868628,0.17749201276759
"bart_ps-glm","dgp60",5,100,3,0.99,0.6,0.0935932041604092,0.176921907193096
"bart_ps-glm","dgp60",5,100,3,0.9,0.55,0.0937315111862801,0.177132336487824
"bart_ps-glm","dgp60",5,100,10,0.75,0.55,0.0940133679016797,0.176393274884101
"bart_ps-glm","dgp60",5,200,3,0.99,0.4,0.106586752613,0.176774820879463
"bart_ps-glm","dgp60",5,200,3,0.9,0.4,0.106680658458327,0.177031823585452
"bart_ps-glm","dgp60",5,200,10,0.75,0.4,0.106705162409009,0.176479315214238
