"model","dgp","min_node_size","sample_fraction","mtry","coverage","rmse_norm","ci_length_norm"
"causal_forest","dgp60",5,0.5,11,0.85,0.0604853662822835,0.180316156058792
"causal_forest","dgp60",5,0.3,11,0.8,0.061011252011298,0.180984982461061
"causal_forest","dgp60",20,0.3,11,0.85,0.0610144982841138,0.18064030893885
"causal_forest","dgp60",10,0.5,11,0.85,0.0610158311465295,0.180011464060203
"causal_forest","dgp60",50,0.5,11,0.85,0.0614006627307839,0.17952557939559
"causal_forest","dgp60",10,0.3,11,0.8,0.0614502393693111,0.180568275426272
"causal_forest","dgp60",20,0.5,11,0.85,0.0617827542162313,0.179881713870543
"causal_forest","dgp60",10,0.5,16,0.85,0.0618692179466216,0.179407828764151
"causal_forest","dgp60",50,0.5,16,0.85,0.062208987577951,0.179078133810991
"causal_forest","dgp60",5,0.3,16,0.85,0.0623436995781629,0.179798673896672
"causal_forest","dgp60",5,0.5,16,0.85,0.0627815916279214,0.179735515295827
"causal_forest","dgp60",20,0.5,16,0.85,0.0628166611756173,0.179386225172067
"causal_forest","dgp60",10,0.3,16,0.85,0.0629294326734373,0.179761628885715
"causal_forest","dgp60",50,0.3,11,0.8,0.0631308786016955,0.180403134272706
"causal_forest","dgp60",50,0.3,16,0.85,0.0631621879176553,0.180090262597294
"causal_forest","dgp60",5,0.5,26,0.85,0.0632548161908964,0.17914575166174
"causal_forest","dgp60",20,0.3,16,0.8,0.0634884834600931,0.179801376536324
"causal_forest","dgp60",50,0.5,26,0.85,0.0637685023067,0.179285804293954
"causal_forest","dgp60",20,0.5,26,0.85,0.0639378899358545,0.178785770677173
"causal_forest","dgp60",10,0.5,26,0.85,0.0643146698714047,0.179223127602439
"causal_forest","dgp60",5,0.3,26,0.85,0.0644320648721927,0.179557237595959
"causal_forest","dgp60",20,0.3,26,0.8,0.0648256888469843,0.178938411687218
"causal_forest","dgp60",50,0.3,26,0.85,0.064941287531769,0.179714514737555
"causal_forest","dgp60",10,0.3,26,0.85,0.0649842303847005,0.17919376507412
