"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_ps-bart","dgp63",1,75,3,0.99,1,0.117448340662172,0.525272918391947
"bart_ps-bart","dgp63",1,75,10,0.75,1,0.119961649199683,0.523033876947441
"bart_ps-bart","dgp63",1,100,10,0.75,0.95,0.12240103305401,0.53861100212869
"bart_ps-bart","dgp63",1,75,3,0.9,0.95,0.123106591994042,0.529278511597163
"bart_ps-bart","dgp63",2,75,10,0.75,0.95,0.125086531062228,0.495043229059114
"bart_ps-bart","dgp63",2,75,3,0.99,0.95,0.125992770456115,0.498350230574569
"bart_ps-bart","dgp63",1,100,3,0.9,1,0.126277160438821,0.540027039508885
"bart_ps-bart","dgp63",2,75,3,0.9,0.95,0.127475031561772,0.496641906717857
"bart_ps-bart","dgp63",2,100,3,0.99,0.95,0.129458593626477,0.497351049164344
"bart_ps-bart","dgp63",2,100,10,0.75,0.95,0.12951454340368,0.499091115628813
"bart_ps-bart","dgp63",2,100,3,0.9,0.95,0.129537698105358,0.499811620642472
"bart_ps-bart","dgp63",1,100,3,0.99,0.95,0.129689494092409,0.537761442369181
"bart_ps-bart","dgp63",2,200,3,0.9,0.95,0.131598117712423,0.502288579893069
"bart_ps-bart","dgp63",2,200,10,0.75,0.95,0.132524559153535,0.501070453740355
"bart_ps-bart","dgp63",2,200,3,0.99,0.95,0.132544753199102,0.500109386376531
"bart_ps-bart","dgp63",1,200,3,0.99,0.95,0.136420040368433,0.561205418998505
"bart_ps-bart","dgp63",1,200,3,0.9,0.95,0.138389246608569,0.559538129953305
"bart_ps-bart","dgp63",1,200,10,0.75,0.95,0.139810394084713,0.562356139083064
"bart_ps-bart","dgp63",3,75,10,0.75,0.9,0.140334265316003,0.477479982982556
"bart_ps-bart","dgp63",3,75,3,0.9,0.9,0.141469945453476,0.47521814234735
"bart_ps-bart","dgp63",3,75,3,0.99,0.9,0.141562142522515,0.47675347763582
"bart_ps-bart","dgp63",3,100,3,0.9,0.9,0.145199800695613,0.477828205284938
"bart_ps-bart","dgp63",3,100,10,0.75,0.9,0.145588435049675,0.479392204855778
"bart_ps-bart","dgp63",3,100,3,0.99,0.9,0.145976313014093,0.475123326120736
"bart_ps-bart","dgp63",3,200,3,0.99,0.9,0.151276309250994,0.475738884169894
"bart_ps-bart","dgp63",3,200,10,0.75,0.9,0.151812651103577,0.477851984536838
"bart_ps-bart","dgp63",3,200,3,0.9,0.9,0.151990520083092,0.475670908421747
"bart_ps-bart","dgp63",5,75,3,0.99,0.7,0.19043403903096,0.451847793395054
"bart_ps-bart","dgp63",5,75,3,0.9,0.7,0.19074828594107,0.4507121055716
"bart_ps-bart","dgp63",5,75,10,0.75,0.7,0.191306148689777,0.452112060665121
"bart_ps-bart","dgp63",5,100,10,0.75,0.7,0.199290122258565,0.449743205006414
"bart_ps-bart","dgp63",5,100,3,0.9,0.7,0.199309744120748,0.451288078293958
"bart_ps-bart","dgp63",5,100,3,0.99,0.7,0.199694546511974,0.447972130446544
"bart_ps-bart","dgp63",5,200,10,0.75,0.65,0.218447606393445,0.445650256877948
"bart_ps-bart","dgp63",5,200,3,0.9,0.65,0.21896903847145,0.444606246038146
"bart_ps-bart","dgp63",5,200,3,0.99,0.65,0.21950651450767,0.446050500557956
