"model","dgp","k","n_trees","nu","q","coverage","rmse_norm","ci_length_norm"
"bart_t-learner","dgp63",3,75,3,0.99,0.95,0.102664266264517,0.459096635039547
"bart_t-learner","dgp63",3,75,3,0.9,0.95,0.102719886837752,0.458981402957394
"bart_t-learner","dgp63",3,100,10,0.75,0.95,0.10304216273839,0.46029803662645
"bart_t-learner","dgp63",3,75,10,0.75,0.95,0.103049583723213,0.45893815034935
"bart_t-learner","dgp63",3,100,3,0.99,0.95,0.103247105816721,0.459950597404426
"bart_t-learner","dgp63",3,100,3,0.9,0.95,0.103589918040135,0.461757682332753
"bart_t-learner","dgp63",2,75,10,0.75,0.95,0.103896689448727,0.482564427882291
"bart_t-learner","dgp63",3,200,3,0.99,0.95,0.104227173289968,0.464990517374175
"bart_t-learner","dgp63",2,75,3,0.99,0.95,0.104313932921556,0.481096113101665
"bart_t-learner","dgp63",2,75,3,0.9,0.95,0.104508983880981,0.479370257028691
"bart_t-learner","dgp63",3,200,3,0.9,0.95,0.104773294964549,0.462388039074215
"bart_t-learner","dgp63",3,200,10,0.75,0.95,0.104971739821475,0.463804875284225
"bart_t-learner","dgp63",2,100,3,0.9,0.95,0.106073268730383,0.486716249531868
"bart_t-learner","dgp63",2,100,3,0.99,0.95,0.106192982543583,0.485315717103308
"bart_t-learner","dgp63",2,100,10,0.75,0.95,0.106492182975517,0.484380493027542
"bart_t-learner","dgp63",2,200,3,0.99,0.95,0.107084829029215,0.490741559315905
"bart_t-learner","dgp63",2,200,3,0.9,0.95,0.107156349854487,0.490871601732748
"bart_t-learner","dgp63",2,200,10,0.75,0.95,0.107386061684778,0.490017684550801
"bart_t-learner","dgp63",1,75,3,0.9,1,0.109099095316639,0.516272469531189
"bart_t-learner","dgp63",1,75,3,0.99,1,0.109705035762704,0.514646850273735
"bart_t-learner","dgp63",1,75,10,0.75,1,0.110741547330211,0.51598452129818
"bart_t-learner","dgp63",1,100,10,0.75,1,0.111485708901343,0.521116995770645
"bart_t-learner","dgp63",5,75,3,0.9,0.9,0.111874238315332,0.430565489208177
"bart_t-learner","dgp63",1,100,3,0.9,1,0.112046663977259,0.523630296447583
"bart_t-learner","dgp63",1,100,3,0.99,1,0.112131125341359,0.525271448520041
"bart_t-learner","dgp63",5,75,3,0.99,0.9,0.1123250162648,0.429294064193498
"bart_t-learner","dgp63",5,75,10,0.75,0.9,0.112414176036774,0.429953447729676
"bart_t-learner","dgp63",5,100,10,0.75,0.9,0.112977889824127,0.431489868946119
"bart_t-learner","dgp63",5,100,3,0.9,0.9,0.113048408769915,0.431551430380842
"bart_t-learner","dgp63",5,100,3,0.99,0.9,0.113071835630247,0.431977412103161
"bart_t-learner","dgp63",5,200,3,0.99,0.9,0.11461635386369,0.432570261677004
"bart_t-learner","dgp63",5,200,3,0.9,0.9,0.114827118333797,0.434295364571687
"bart_t-learner","dgp63",5,200,10,0.75,0.9,0.114937920491698,0.431255088384918
"bart_t-learner","dgp63",1,200,3,0.99,1,0.115038195321262,0.538133788027921
"bart_t-learner","dgp63",1,200,10,0.75,1,0.115132605652953,0.539515004148788
"bart_t-learner","dgp63",1,200,3,0.9,1,0.116423836957909,0.536680193350479
