"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp60","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.0537647644316039,0.95,0.16046477441726
"dgp60","bart_ps-bart",1,75,3,0.9,NA,NA,NA,NA,0.0633159878120731,0.9,0.194852298921086
"dgp60","bart_ps-bart",1,75,3,0.99,NA,NA,NA,NA,0.0606992839359788,0.95,0.194518758553267
"dgp60","bart_ps-bart",1,75,10,0.75,NA,NA,NA,NA,0.0603372711674056,0.9,0.193464630847259
"dgp60","bart_ps-bart",1,100,3,0.9,NA,NA,NA,NA,0.0621683147636695,0.95,0.199768723838964
"dgp60","bart_ps-bart",1,100,3,0.99,NA,NA,NA,NA,0.0638584556688326,0.9,0.199916750625685
"dgp60","bart_ps-bart",1,100,10,0.75,NA,NA,NA,NA,0.0631208734571413,0.95,0.20102258237907
"dgp60","bart_ps-bart",1,200,3,0.9,NA,NA,NA,NA,0.0648062982523518,0.95,0.208861050685838
"dgp60","bart_ps-bart",1,200,3,0.99,NA,NA,NA,NA,0.0643090260810239,0.95,0.209804895176319
"dgp60","bart_ps-bart",1,200,10,0.75,NA,NA,NA,NA,0.0637896029959192,0.95,0.209097549500097
"dgp60","bart_ps-bart",2,75,3,0.9,NA,NA,NA,NA,0.0606725297139054,0.95,0.184886880651651
"dgp60","bart_ps-bart",2,75,3,0.99,NA,NA,NA,NA,0.0602407214795288,0.95,0.18411270742213
"dgp60","bart_ps-bart",2,75,10,0.75,NA,NA,NA,NA,0.0600752965889934,0.95,0.184362746709258
"dgp60","bart_ps-bart",2,100,3,0.9,NA,NA,NA,NA,0.061820227576925,0.9,0.185654020391038
"dgp60","bart_ps-bart",2,100,3,0.99,NA,NA,NA,NA,0.0615359725056037,0.95,0.18521666319616
"dgp60","bart_ps-bart",2,100,10,0.75,NA,NA,NA,NA,0.0614513449413932,0.95,0.185129746547406
"dgp60","bart_ps-bart",2,200,3,0.9,NA,NA,NA,NA,0.0637150649584485,0.9,0.186954956726737
"dgp60","bart_ps-bart",2,200,3,0.99,NA,NA,NA,NA,0.0641797813378692,0.9,0.18620213042677
"dgp60","bart_ps-bart",2,200,10,0.75,NA,NA,NA,NA,0.0633599272152452,0.9,0.186331791151397
"dgp60","bart_ps-bart",3,75,3,0.9,NA,NA,NA,NA,0.0665052038254157,0.8,0.18171093221402
"dgp60","bart_ps-bart",3,75,3,0.99,NA,NA,NA,NA,0.0666391347753965,0.8,0.18076432176677
"dgp60","bart_ps-bart",3,75,10,0.75,NA,NA,NA,NA,0.0667912936680074,0.8,0.18011428129846
"dgp60","bart_ps-bart",3,100,3,0.9,NA,NA,NA,NA,0.0692030546958407,0.75,0.181587042855749
"dgp60","bart_ps-bart",3,100,3,0.99,NA,NA,NA,NA,0.0689081968199165,0.75,0.181297037044098
"dgp60","bart_ps-bart",3,100,10,0.75,NA,NA,NA,NA,0.0684517903226186,0.75,0.179776439700569
"dgp60","bart_ps-bart",3,200,3,0.9,NA,NA,NA,NA,0.0737261280695061,0.75,0.180701627000207
"dgp60","bart_ps-bart",3,200,3,0.99,NA,NA,NA,NA,0.073736039120902,0.75,0.180238879662058
"dgp60","bart_ps-bart",3,200,10,0.75,NA,NA,NA,NA,0.0736449124585775,0.75,0.181235048352723
"dgp60","bart_ps-bart",5,75,3,0.9,NA,NA,NA,NA,0.08853423320749,0.6,0.178900508550783
"dgp60","bart_ps-bart",5,75,3,0.99,NA,NA,NA,NA,0.0885843864077708,0.6,0.178314564191746
"dgp60","bart_ps-bart",5,75,10,0.75,NA,NA,NA,NA,0.0884622997262643,0.6,0.177810435039745
"dgp60","bart_ps-bart",5,100,3,0.9,NA,NA,NA,NA,0.0933826005404743,0.6,0.177669734398097
"dgp60","bart_ps-bart",5,100,3,0.99,NA,NA,NA,NA,0.0929685424663678,0.6,0.178145693767529
"dgp60","bart_ps-bart",5,100,10,0.75,NA,NA,NA,NA,0.0932562115490253,0.6,0.178178383677346
"dgp60","bart_ps-bart",5,200,3,0.9,NA,NA,NA,NA,0.106847082893078,0.4,0.176788352763266
"dgp60","bart_ps-bart",5,200,3,0.99,NA,NA,NA,NA,0.106433271806866,0.4,0.177106357577028
"dgp60","bart_ps-bart",5,200,10,0.75,NA,NA,NA,NA,0.106436260818625,0.4,0.176593822662469
"dgp60","bart_ps-glm",1,75,3,0.9,NA,NA,NA,NA,0.0582816198076836,0.95,0.181817202727332
"dgp60","bart_ps-glm",1,75,3,0.99,NA,NA,NA,NA,0.0587906838566081,0.95,0.182389620697233
"dgp60","bart_ps-glm",1,75,10,0.75,NA,NA,NA,NA,0.0584617187825483,0.95,0.182423640483872
"dgp60","bart_ps-glm",1,100,3,0.9,NA,NA,NA,NA,0.0584737776121476,0.95,0.182113919734966
"dgp60","bart_ps-glm",1,100,3,0.99,NA,NA,NA,NA,0.0584542768125428,0.95,0.181725719420113
"dgp60","bart_ps-glm",1,100,10,0.75,NA,NA,NA,NA,0.0586931324970831,0.95,0.181957339961151
"dgp60","bart_ps-glm",1,200,3,0.9,NA,NA,NA,NA,0.0594257759141306,0.95,0.185547305960602
"dgp60","bart_ps-glm",1,200,3,0.99,NA,NA,NA,NA,0.0598792969766499,0.95,0.183489664214666
"dgp60","bart_ps-glm",1,200,10,0.75,NA,NA,NA,NA,0.0592481816773234,0.95,0.184347013868908
"dgp60","bart_ps-glm",2,75,3,0.9,NA,NA,NA,NA,0.0618680764982895,0.9,0.180288160116867
"dgp60","bart_ps-glm",2,75,3,0.99,NA,NA,NA,NA,0.0612386593580762,0.9,0.180324508247105
