"dgp","metric","model","iteration","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","value"
"dgp40","ate_estimate","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,7.10976804960039
"dgp40","ate_bias","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,0.147783142194836
"dgp40","ci_length","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,0.504068589774532
"dgp40","coverage","bart_s-learner",1,1,75,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,7.09296399452657
"dgp40","ate_bias","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,0.130979087121017
"dgp40","ci_length","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,0.51497815209252
"dgp40","coverage","bart_s-learner",1,1,75,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,7.10923060762656
"dgp40","ate_bias","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,0.147245700221006
"dgp40","ci_length","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,0.577813848539248
"dgp40","coverage","bart_s-learner",1,1,75,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,7.09470224240421
"dgp40","ate_bias","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,0.132717334998664
"dgp40","ci_length","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,0.519345904739589
"dgp40","coverage","bart_s-learner",1,2,75,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,7.09601210303643
"dgp40","ate_bias","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,0.134027195630879
"dgp40","ci_length","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,0.522950475790664
"dgp40","coverage","bart_s-learner",1,2,75,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,7.11247698275116
"dgp40","ate_bias","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,0.150492075345609
"dgp40","ci_length","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,0.546907693795651
"dgp40","coverage","bart_s-learner",1,2,75,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,7.0784768361214
"dgp40","ate_bias","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,0.11649192871585
"dgp40","ci_length","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,0.519807693266721
"dgp40","coverage","bart_s-learner",1,3,75,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,3,75,3,0.99,NA,NA,NA,NA,7.06092376255375
"dgp40","ate_bias","bart_s-learner",1,3,75,3,0.99,NA,NA,NA,NA,0.0989388551481953
"dgp40","ci_length","bart_s-learner",1,3,75,3,0.99,NA,NA,NA,NA,0.522740266254686
"dgp40","coverage","bart_s-learner",1,3,75,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,3,75,10,0.75,NA,NA,NA,NA,7.07919861442243
"dgp40","ate_bias","bart_s-learner",1,3,75,10,0.75,NA,NA,NA,NA,0.117213707016879
"dgp40","ci_length","bart_s-learner",1,3,75,10,0.75,NA,NA,NA,NA,0.551572852358928
"dgp40","coverage","bart_s-learner",1,3,75,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,7.06429259084798
"dgp40","ate_bias","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,0.102307683442426
"dgp40","ci_length","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,0.52075454037325
"dgp40","coverage","bart_s-learner",1,5,75,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,75,3,0.99,NA,NA,NA,NA,7.04497556652727
"dgp40","ate_bias","bart_s-learner",1,5,75,3,0.99,NA,NA,NA,NA,0.0829906591217222
"dgp40","ci_length","bart_s-learner",1,5,75,3,0.99,NA,NA,NA,NA,0.506085641382827
"dgp40","coverage","bart_s-learner",1,5,75,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,75,10,0.75,NA,NA,NA,NA,7.02815981482701
"dgp40","ate_bias","bart_s-learner",1,5,75,10,0.75,NA,NA,NA,NA,0.0661749074214617
"dgp40","ci_length","bart_s-learner",1,5,75,10,0.75,NA,NA,NA,NA,0.540695730140037
"dgp40","coverage","bart_s-learner",1,5,75,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,7.12314407258712
"dgp40","ate_bias","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,0.161159165181572
"dgp40","ci_length","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,0.531822001210483
"dgp40","coverage","bart_s-learner",1,1,100,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,100,3,0.99,NA,NA,NA,NA,7.11728801708813
"dgp40","ate_bias","bart_s-learner",1,1,100,3,0.99,NA,NA,NA,NA,0.155303109682579
"dgp40","ci_length","bart_s-learner",1,1,100,3,0.99,NA,NA,NA,NA,0.499508176883263
"dgp40","coverage","bart_s-learner",1,1,100,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,100,10,0.75,NA,NA,NA,NA,7.13332786571718
"dgp40","ate_bias","bart_s-learner",1,1,100,10,0.75,NA,NA,NA,NA,0.171342958311626
"dgp40","ci_length","bart_s-learner",1,1,100,10,0.75,NA,NA,NA,NA,0.556632194034787
"dgp40","coverage","bart_s-learner",1,1,100,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,100,3,0.9,NA,NA,NA,NA,7.09537864995529
"dgp40","ate_bias","bart_s-learner",1,2,100,3,0.9,NA,NA,NA,NA,0.133393742549741
"dgp40","ci_length","bart_s-learner",1,2,100,3,0.9,NA,NA,NA,NA,0.53081189443044
"dgp40","coverage","bart_s-learner",1,2,100,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,100,3,0.99,NA,NA,NA,NA,7.08526094816958
"dgp40","ate_bias","bart_s-learner",1,2,100,3,0.99,NA,NA,NA,NA,0.123276040764034
"dgp40","ci_length","bart_s-learner",1,2,100,3,0.99,NA,NA,NA,NA,0.54227161078509
"dgp40","coverage","bart_s-learner",1,2,100,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,100,10,0.75,NA,NA,NA,NA,7.08849764117236
"dgp40","ate_bias","bart_s-learner",1,2,100,10,0.75,NA,NA,NA,NA,0.126512733766814
"dgp40","ci_length","bart_s-learner",1,2,100,10,0.75,NA,NA,NA,NA,0.5069743007995
"dgp40","coverage","bart_s-learner",1,2,100,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,3,100,3,0.9,NA,NA,NA,NA,7.08711757063297
"dgp40","ate_bias","bart_s-learner",1,3,100,3,0.9,NA,NA,NA,NA,0.125132663227425
"dgp40","ci_length","bart_s-learner",1,3,100,3,0.9,NA,NA,NA,NA,0.501426815724332
"dgp40","coverage","bart_s-learner",1,3,100,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,3,100,3,0.99,NA,NA,NA,NA,7.07504848651007
"dgp40","ate_bias","bart_s-learner",1,3,100,3,0.99,NA,NA,NA,NA,0.113063579104521
"dgp40","ci_length","bart_s-learner",1,3,100,3,0.99,NA,NA,NA,NA,0.511765766504478
"dgp40","coverage","bart_s-learner",1,3,100,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,3,100,10,0.75,NA,NA,NA,NA,7.06460578649542
"dgp40","ate_bias","bart_s-learner",1,3,100,10,0.75,NA,NA,NA,NA,0.102620879089871
"dgp40","ci_length","bart_s-learner",1,3,100,10,0.75,NA,NA,NA,NA,0.52868430194672
"dgp40","coverage","bart_s-learner",1,3,100,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,100,3,0.9,NA,NA,NA,NA,7.05439074687236
"dgp40","ate_bias","bart_s-learner",1,5,100,3,0.9,NA,NA,NA,NA,0.092405839466811
"dgp40","ci_length","bart_s-learner",1,5,100,3,0.9,NA,NA,NA,NA,0.526886806561815
"dgp40","coverage","bart_s-learner",1,5,100,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,100,3,0.99,NA,NA,NA,NA,7.06037665766858
"dgp40","ate_bias","bart_s-learner",1,5,100,3,0.99,NA,NA,NA,NA,0.0983917502630289
"dgp40","ci_length","bart_s-learner",1,5,100,3,0.99,NA,NA,NA,NA,0.519334768171722
"dgp40","coverage","bart_s-learner",1,5,100,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,100,10,0.75,NA,NA,NA,NA,7.04295742543866
"dgp40","ate_bias","bart_s-learner",1,5,100,10,0.75,NA,NA,NA,NA,0.0809725180331062
"dgp40","ci_length","bart_s-learner",1,5,100,10,0.75,NA,NA,NA,NA,0.531271066766451
"dgp40","coverage","bart_s-learner",1,5,100,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,200,3,0.9,NA,NA,NA,NA,7.10084100662494
"dgp40","ate_bias","bart_s-learner",1,1,200,3,0.9,NA,NA,NA,NA,0.138856099219395
"dgp40","ci_length","bart_s-learner",1,1,200,3,0.9,NA,NA,NA,NA,0.520971780276344
"dgp40","coverage","bart_s-learner",1,1,200,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,200,3,0.99,NA,NA,NA,NA,7.08396948628563
"dgp40","ate_bias","bart_s-learner",1,1,200,3,0.99,NA,NA,NA,NA,0.121984578880078
"dgp40","ci_length","bart_s-learner",1,1,200,3,0.99,NA,NA,NA,NA,0.560540154317286
"dgp40","coverage","bart_s-learner",1,1,200,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,1,200,10,0.75,NA,NA,NA,NA,7.11511757872095
"dgp40","ate_bias","bart_s-learner",1,1,200,10,0.75,NA,NA,NA,NA,0.153132671315402
"dgp40","ci_length","bart_s-learner",1,1,200,10,0.75,NA,NA,NA,NA,0.546828522750793
"dgp40","coverage","bart_s-learner",1,1,200,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,200,3,0.9,NA,NA,NA,NA,7.08419660989846
"dgp40","ate_bias","bart_s-learner",1,2,200,3,0.9,NA,NA,NA,NA,0.122211702492909
"dgp40","ci_length","bart_s-learner",1,2,200,3,0.9,NA,NA,NA,NA,0.537073775865598
"dgp40","coverage","bart_s-learner",1,2,200,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,2,200,3,0.99,NA,NA,NA,NA,7.07782392889446
"dgp40","ate_bias","bart_s-learner",1,2,200,3,0.99,NA,NA,NA,NA,0.115839021488914
